array_index,case_id,study_family,group_dir,physical_case,mesh_name,Nx,Ny,velocity_m_per_s,stiffness_class,A,beta,Ta,threads,core_label
86,REACTION_STIFFNESS__S3_HIGH_A1e9_Ta100__M2_216x72__C4,REACTION_STIFFNESS,STIFFNESS,S3_HIGH_A1e9_Ta100,M2_216x72,216,72,0.1,high,1000000000,5,100,4,C4
87,REACTION_STIFFNESS__S3_HIGH_A1e9_Ta100__M2_216x72__C16,REACTION_STIFFNESS,STIFFNESS,S3_HIGH_A1e9_Ta100,M2_216x72,216,72,0.1,high,1000000000,5,100,16,C16
88,REACTION_STIFFNESS__S3_HIGH_A1e9_Ta100__M3_432x144__C1,REACTION_STIFFNESS,STIFFNESS,S3_HIGH_A1e9_Ta100,M3_432x144,432,144,0.1,high,1000000000,5,100,1,C1
89,REACTION_STIFFNESS__S3_HIGH_A1e9_Ta100__M3_432x144__C2,REACTION_STIFFNESS,STIFFNESS,S3_HIGH_A1e9_Ta100,M3_432x144,432,144,0.1,high,1000000000,5,100,2,C2
90,REACTION_STIFFNESS__S3_HIGH_A1e9_Ta100__M3_432x144__C4,REACTION_STIFFNESS,STIFFNESS,S3_HIGH_A1e9_Ta100,M3_432x144,432,144,0.1,high,1000000000,5,100,4,C4
91,REACTION_STIFFNESS__S3_HIGH_A1e9_Ta100__M3_432x144__C16,REACTION_STIFFNESS,STIFFNESS,S3_HIGH_A1e9_Ta100,M3_432x144,432,144,0.1,high,1000000000,5,100,16,C16
92,REACTION_STIFFNESS__S3_HIGH_A1e9_Ta100__M4_864x288__C1,REACTION_STIFFNESS,STIFFNESS,S3_HIGH_A1e9_Ta100,M4_864x288,864,288,0.1,high,1000000000,5,100,1,C1
93,REACTION_STIFFNESS__S3_HIGH_A1e9_Ta100__M4_864x288__C2,REACTION_STIFFNESS,STIFFNESS,S3_HIGH_A1e9_Ta100,M4_864x288,864,288,0.1,high,1000000000,5,100,2,C2
94,REACTION_STIFFNESS__S3_HIGH_A1e9_Ta100__M4_864x288__C4,REACTION_STIFFNESS,STIFFNESS,S3_HIGH_A1e9_Ta100,M4_864x288,864,288,0.1,high,1000000000,5,100,4,C4
95,REACTION_STIFFNESS__S3_HIGH_A1e9_Ta100__M4_864x288__C16,REACTION_STIFFNESS,STIFFNESS,S3_HIGH_A1e9_Ta100,M4_864x288,864,288,0.1,high,1000000000,5,100,16,C16
